Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2029,S3,0.1899,Buses,NMC,16004
2030,S3,0.1899,Buses,LFP,33368
2030,S3,0.1899,Buses,NMC,16206
2031,S3,0.1899,Buses,LFP,39128
2031,S3,0.1899,Buses,NMC,16000
2032,S3,0.1899,Buses,LFP,44474
2032,S3,0.1899,Buses,NMC,15658
2033,S3,0.1899,Buses,LFP,49263
2033,S3,0.1899,Buses,NMC,15379
2034,S3,0.1899,Buses,LFP,53419
2034,S3,0.1899,Buses,NMC,15264
2035,S3,0.1899,Buses,LFP,56994
2035,S3,0.1899,Buses,NMC,15347
2021,S3,0.1899,Cars,LFP,319
2021,S3,0.1899,Cars,NMC,746
2022,S3,0.1899,Cars,LFP,2741
2022,S3,0.1899,Cars,NMC,5828
2023,S3,0.1899,Cars,LFP,10207
2023,S3,0.1899,Cars,NMC,18845
2024,S3,0.1899,Cars,LFP,26364
2024,S3,0.1899,Cars,NMC,42339
2025,S3,0.1899,Cars,LFP,55238
2025,S3,0.1899,Cars,NMC,77371
2026,S3,0.1899,Cars,LFP,100841
2026,S3,0.1899,Cars,NMC,123362
2027,S3,0.1899,Cars,LFP,166431
2027,S3,0.1899,Cars,NMC,177730
2028,S3,0.1899,Cars,LFP,253678
2028,S3,0.1899,Cars,NMC,235946
2029,S3,0.1899,Cars,LFP,361883
2029,S3,0.1899,Cars,NMC,292447
2030,S3,0.1899,Cars,LFP,488330
2030,S3,0.1899,Cars,NMC,341882
2031,S3,0.1899,Cars,LFP,628153
2031,S3,0.1899,Cars,NMC,380171
2032,S3,0.1899,Cars,LFP,775482
2032,S3,0.1899,Cars,NMC,405552
2033,S3,0.1899,Cars,LFP,924008
2033,S3,0.1899,Cars,NMC,418794
2034,S3,0.1899,Cars,LFP,1067740
2034,S3,0.1899,Cars,NMC,422726
2035,S3,0.1899,Cars,LFP,1202195
2035,S3,0.1899,Cars,NMC,421350
2021,S3,0.1899,Vans,LFP,28
2021,S3,0.1899,Vans,NMC,67
2022,S3,0.1899,Vans,LFP,245
2022,S3,0.1899,Vans,NMC,522
2023,S3,0.1899,Vans,LFP,908
2023,S3,0.1899,Vans,NMC,1674
2024,S3,0.1899,Vans,LFP,2315
2024,S3,0.1899,Vans,NMC,3693
2025,S3,0.1899,Vans,LFP,4747
2025,S3,0.1899,Vans,NMC,6546
2026,S3,0.1899,Vans,LFP,8415
2026,S3,0.1899,Vans,NMC,9983
