2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
20461077.633990906,20163311.444295805,22591476.51982033,24301404.451206498,27278416.862433303,30315654.31379328,31100674.707470853,31963910.75620476,35702803.72562341,35015364.33454425,37711591.855499715,39324269.35072097,42842408.46790498,43074056.7340382,44156591.87122997,46776157.696380876
20996365.384019252,21129266.564476505,22297451.02045569,22468106.95644298,26826264.399324656,28827705.552607212,30614897.630293503,32615140.59250402,35152850.7667059,36622733.86209146,37600328.044373296,39884370.399681725,41667449.40651916,40275865.61777161,43112391.315039,45674972.38928649
18042419.12903984,21177238.777336176,24036621.482065685,25308169.678286567,27796195.217668336,30887638.25598228,31462450.79158509,32443263.58086638,34384923.733623736,35686149.82394511,37242139.02305067,39527162.16084059,41777994.46037448,42535410.09605222,44684186.527045235,47203052.01959219
20495705.607360393,18802654.414969668,19364200.28846437,24988943.580426063,26482597.327054087,28919991.346087515,29988213.71091827,30766001.216087982,35708480.07710404,36880989.722023584,37029788.7410393,36406436.98447088,40964928.549772605,42979388.04440981,42496159.72361719,46049852.98785297
19399450.427755672,21153733.301022332,22422395.70425011,22848301.805220023,29401999.252396848,28995962.99680604,31265735.382156,31760652.21612347,34579893.599834904,35030744.35055637,37484816.46676329,41268977.048757575,40015160.85205393,40689176.5214628,45865347.88673818,45600286.3462424
18656660.80635648,21678364.376426816,21592850.331224076,25989677.352788534,28811336.304587346,28618166.233948283,33707868.2222434,32135691.096020237,35938419.090182684,36363422.5609363,39147559.09010896,41099239.04932272,41630098.27772789,41671496.55895695,44710492.844144054,45064044.74652626
21704407.1217243,20649441.085804343,21867720.56149324,24147631.19998038,26505092.48632394,28063365.48766005,32638176.120268635,32077092.19378932,33888092.942908615,36630567.21634072,39016724.65262307,40147064.10490262,42739054.84077771,41667639.63389092,42561372.72108485,47558744.69898176
19050224.06154973,20208234.71540216,23804918.622898005,24564617.39347191,28558466.771778766,31661024.464671947,30576883.00359429,33891567.87102936,35153267.019255646,36328869.91714901,39403198.954894625,39908480.08720012,42212494.961256675,43756779.84138264,43768374.21369292,44879156.83785675
18229758.11134026,18254280.72365529,24637686.429481104,22702247.74335198,27787299.89122887,28860293.071076564,31639902.06390068,33763213.23148011,36074088.67379366,35370330.78588304,37491383.54593406,39653918.42690673,41307209.47048853,44367587.57507733,44745900.09715109,46681262.1856532
20169994.812819075,21830497.531103224,22492677.75430726,22484946.101720475,28494463.241042268,28430696.34703554,30705329.038220186,33500587.46953533,36507084.825448364,36050514.86223893,38028033.03350681,41258248.40115559,41870226.0297384,45503162.80933132,44831023.6352677,43824110.14939857
20272773.682679888,20928062.843028035,23760945.84947799,24695870.61317772,27881594.521356802,27773539.936376397,31062595.833613236,31855395.748074092,34422605.60739037,36689008.61473435,39562671.262957685,39780593.15761495,40217637.60604505,43039686.3350771,45551806.41723792,45141817.718403876
19264578.03771793,20510659.140619207,21387770.30606078,24667924.584226154,27901533.433493134,29658992.755717814,30304149.637752697,32328340.12795177,35915825.45397891,35606956.99389366,39627006.93937382,38882945.746901885,41851742.19934043,43596989.315188445,42565307.06278095,43824057.425490536
17683431.214590523,21931992.68017143,21654342.95249834,26811405.75059813,27396678.9729158,29389472.385048747,33020150.97180365,35126136.5144382,37450552.98159177,37386568.79834619,38834470.13872764,40004189.63219098,42488646.03116757,41902454.173307054,43250737.20213652,45836068.792427704
19223485.447007604,19977710.000596244,23082200.369679596,25012495.151508395,28139958.776005004,30872502.548331834,30019988.206727512,32607482.844387032,34266397.58839232,33925820.28985659,37586592.673743874,39196987.83252578,43334231.7030901,43252344.853165045,43015485.38315237,47962603.28048314
20804154.133416522,21156929.52247633,22026535.531349387,22863598.27404023,27615385.912175033,30426575.17196453,33402998.114139386,34596187.2043182,34527670.44194463,34766464.55710712,37838669.338286646,37336060.82261349,41965028.946472965,42363363.05971248,43652929.876492284,44014224.78258644
20000385.158218455,19887191.759774156,20947350.923676584,20716857.840047695,28007940.490327414,31210544.366890367,33153345.43621564,32305855.228380535,34397748.94592208,36554171.174906775,36554115.29846311,39675629.857170716,42474519.20931693,43933140.69028125,44070791.74611421,45606754.705795236
18419302.4774124,19552125.98423938,22026541.487532847,24352656.815199517,29079717.809615184,28256558.384624187,32964903.84218803,32518788.612431545,35063437.58819075,35185600.615072414,34946432.43144047,40333634.72529824,42440888.07578586,42210643.52611732,44261682.12823887,46430608.79024922
17641518.206661414,19891346.958473645,23194161.295209605,22532691.11484649,28373596.37828581,27621812.37107864,31817670.86307412,32788408.919144377,33236872.208712168,37337467.52458328,36851548.71645156,38418908.186014466,41824001.67455548,43843723.512950785,43025038.77116104,45910546.68420945
19904056.070422333,21283365.75463224,22487438.7277102,23528455.146033935,27096769.515871406,29276600.32954908,30097736.809206843,29484354.453637373,35588254.00438199,37043936.67974992,35015558.3606565,38193477.73002072,42305507.57753241,44881677.66155248,44208922.095392816,45006472.65846258
19209042.58544096,22059891.837028813,21546695.869049467,23043441.998446178,27489500.420267504,28084338.642886274,31433389.131933916,34689427.875728674,35458197.39536487,35742554.69878955,37350793.31296399,37568012.28429863,42609140.339771196,42443038.06466873,43979054.340475254,49495584.240217656
19756280.95533552,19637651.50396767,21797901.95377626,25229254.635902483,28168274.76223016,27528107.902074397,32323845.327897463,32064211.486271568,37234855.99837227,37242148.98422022,37175451.63963373,40782251.74395578,41671338.74153681,43505834.769577555,44738771.167893134,44870974.55761537
18685659.316739958,21667038.467284583,21902662.119382095,23487356.217610914,26951528.460077725,29663657.118913032,33601911.96307133,31606922.67355937,35115683.18661634,37616003.21807537,37590019.545666,39845800.247699544,40371193.00998923,43021076.10850952,43971443.211466566,46968452.14292503
20765924.49218056,23443401.213009246,22948646.15778898,24306004.164861612,28260651.84436173,28772717.16225346,31674642.554121636,32490991.213759463,35280994.03549983,37509506.690903455,36544917.958266,40622751.869026355,43108384.40564094,42397092.19597614,41761876.0210108,45144062.688599184
20890459.019621197,20467883.162781645,21142515.503679186,23373863.093068834,28996621.600871522,29804890.82254032,31029161.365705688,32409213.91482583,34638943.81705252,34988417.81089304,39501188.81737596,38970320.26346261,42993402.59823031,44269338.24501526,45325311.22057407,45345788.44341716
19875553.496658463,20466371.11123144,21251871.9479169,24304391.396258328,26696518.8877223,30540047.501639582,30776872.60964514,33059539.465462185,35412593.67190046,35735181.133960195,38341327.22242993,38797885.95313674,42595552.23261753,40994766.08236978,44329508.12730964,48059728.88095148
18280292.793432232,19721988.807770096,22873463.524472117,24141909.182000525,28438593.386821516,29738885.792229977,32005800.39058821,34099792.05422843,35557606.783242576,35755042.87796634,38438158.71002025,41481631.93192309,41440712.35507388,41418978.01350027,45449533.47551912,45702112.82248804
