Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2034,Base,0.5,Cars,NMC,424677
2034,Base,0.5,Vans,LFP,61120
2034,Base,0.5,Vans,NMC,18987
2034,Optimistic,0.25,2 and 3 wheelers,LFP,30994294
2034,Optimistic,0.25,2 and 3 wheelers,NMC,7760657
2034,Optimistic,0.25,Buses,LFP,61100
2034,Optimistic,0.25,Buses,NMC,17608
2034,Optimistic,0.25,Cars,LFP,1248989
2034,Optimistic,0.25,Cars,NMC,505082
2034,Optimistic,0.25,Vans,LFP,70705
2034,Optimistic,0.25,Vans,NMC,22158
2034,Pessimistic,0.25,2 and 3 wheelers,LFP,23428789
2034,Pessimistic,0.25,2 and 3 wheelers,NMC,5865675
2034,Pessimistic,0.25,Buses,LFP,45153
2034,Pessimistic,0.25,Buses,NMC,12822
2034,Pessimistic,0.25,Cars,LFP,888129
2034,Pessimistic,0.25,Cars,NMC,344263
2034,Pessimistic,0.25,Vans,LFP,51481
2034,Pessimistic,0.25,Vans,NMC,15805
2035,Base,0.5,2 and 3 wheelers,LFP,28451547
2035,Base,0.5,2 and 3 wheelers,NMC,7113591
2035,Base,0.5,Buses,LFP,56765
2035,Base,0.5,Buses,NMC,15303
2035,Base,0.5,Cars,LFP,1201451
2035,Base,0.5,Cars,NMC,422528
2035,Base,0.5,Vans,LFP,66149
2035,Base,0.5,Vans,NMC,18732
2035,Optimistic,0.25,2 and 3 wheelers,LFP,32211507
2035,Optimistic,0.25,2 and 3 wheelers,NMC,8053705
2035,Optimistic,0.25,Buses,LFP,64872
2035,Optimistic,0.25,Buses,NMC,17555
2035,Optimistic,0.25,Cars,LFP,1394874
2035,Optimistic,0.25,Cars,NMC,497847
2035,Optimistic,0.25,Vans,LFP,76024
2035,Optimistic,0.25,Vans,NMC,21647
2035,Pessimistic,0.25,2 and 3 wheelers,LFP,24646447
2035,Pessimistic,0.25,2 and 3 wheelers,NMC,6162193
2035,Pessimistic,0.25,Buses,LFP,48604
2035,Pessimistic,0.25,Buses,NMC,13038
2035,Pessimistic,0.25,Cars,LFP,1007220
2035,Pessimistic,0.25,Cars,NMC,347105
2035,Pessimistic,0.25,Vans,LFP,56207
2035,Pessimistic,0.25,Vans,NMC,15803
