State,Year,Month,Registrations,Month_Num,Date
ASSAM,2026,JAN,54177,1,2026-01-01
ASSAM,2026,FEB,50354,2,2026-02-01
ASSAM,2026,MAR,58922,3,2026-03-01
ASSAM,2026,APR,58479,4,2026-04-01
ASSAM,2026,MAY,55373,5,2026-05-01
ASSAM,2026,JUN,51517,6,2026-06-01
ASSAM,2026,JUL,38748,7,2026-07-01
BIHAR,2020,JAN,92316,1,2020-01-01
BIHAR,2020,FEB,115338,2,2020-02-01
BIHAR,2020,MAR,178549,3,2020-03-01
BIHAR,2020,APR,3783,4,2020-04-01
BIHAR,2020,MAY,10853,5,2020-05-01
BIHAR,2020,JUN,96064,6,2020-06-01
BIHAR,2020,JUL,61685,7,2020-07-01
BIHAR,2020,AUG,84191,8,2020-08-01
BIHAR,2020,SEP,90121,9,2020-09-01
BIHAR,2020,OCT,77833,10,2020-10-01
BIHAR,2020,NOV,122099,11,2020-11-01
BIHAR,2020,DEC,104248,12,2020-12-01
BIHAR,2021,JAN,74742,1,2021-01-01
BIHAR,2021,FEB,84401,2,2021-02-01
BIHAR,2021,MAR,98768,3,2021-03-01
BIHAR,2021,APR,94458,4,2021-04-01
BIHAR,2021,MAY,59684,5,2021-05-01
BIHAR,2021,JUN,113798,6,2021-06-01
BIHAR,2021,JUL,85268,7,2021-07-01
BIHAR,2021,AUG,69737,8,2021-08-01
BIHAR,2021,SEP,60951,9,2021-09-01
BIHAR,2021,OCT,65675,10,2021-10-01
BIHAR,2021,NOV,123391,11,2021-11-01
BIHAR,2021,DEC,79246,12,2021-12-01
BIHAR,2022,JAN,67202,1,2022-01-01
BIHAR,2022,FEB,74209,2,2022-02-01
BIHAR,2022,MAR,104453,3,2022-03-01
BIHAR,2022,APR,97369,4,2022-04-01
BIHAR,2022,MAY,129310,5,2022-05-01
BIHAR,2022,JUN,96317,6,2022-06-01
BIHAR,2022,JUL,79822,7,2022-07-01
BIHAR,2022,AUG,82918,8,2022-08-01
BIHAR,2022,SEP,76693,9,2022-09-01
BIHAR,2022,OCT,110869,10,2022-10-01
BIHAR,2022,NOV,132566,11,2022-11-01
